"archetypeID","wwthdr_pc_nat_z","runoff_nonstat_z","tws_nonstat_z","gini_z","connectivity_si_z","e_flow_z","Base_water_stress_z","hydropol_int_z","thrspecies_z","droughthaz_z","mismplastic_z","extremes_damage_z","extremes_affected_z","bod_z","wetlandloss_z","equity_risk_index_nat_z","gov_risk_index_nat_z"
14,0.986181743712845,0.332664738005463,-0.634327080760465,0.183678762735024,0.241188632610598,0.0260076032641783,-0.249418012884194,-0.948396642310653,0.593378465064234,-0.158758341065044,0.368402114636482,0.464691897398202,0.236928586901317,-0.149013002294372,-0.19091147348649,-0.481430852994966,0.165743680841337
15,0.980797206946856,0.0943026017736828,0.0591150150034285,-0.570928165672613,-0.694265175332532,0.123785710135395,-0.0848153872378618,-0.0517802733661339,0.509477325912726,-0.197182918732038,0.125630025199505,0.869329767779452,0.0748414349343523,-0.15299731563208,-0.42258116441198,0.227818269521401,-0.478347449025605
16,0.301727623657332,0.835256945633636,0.40280820681019,-0.226292978120242,0.0362403590996835,0.132803946238799,-0.195327676317016,-0.217587238785252,0.115901661744792,0.220063293977102,0.19309622769934,0.587768975558047,0.323086500146425,-0.323613558413467,-0.380222283776121,0.313855369447,0.0218953735578912
17,0.622968084258401,0.237279940773959,0.00878942194675876,-1.2790359947347,0.111175699052683,0.112879067162681,-0.128514080820172,-0.241915197745367,0.31380087940139,-0.0855344699449125,-0.208267111297321,0.60897453442412,-0.272922997699453,-0.255201531948019,-0.107014305033543,0.9600525395212,-0.964398113013244
18,0.992183567234903,-0.284365266555641,-0.656972121931699,-0.946426981859291,0.292253383938676,0.0357707451882638,-0.247636550800885,-1.23491381388759,-0.478660756988356,-0.755951916971611,-1.14538774442489,-0.363733717002712,-1.00068412496727,-0.256431888741151,0.700751883351707,0.868365953762981,-0.910086756091503
19,0.863583908827995,0.167108321867991,-0.00350519320995303,-0.0804845619388181,-0.230160236238539,0.0231943354053628,-0.19979716379675,-0.395999846983233,0.0202486921343512,-0.111707395922635,-0.325878050072212,0.299311687343338,-0.229359457125279,-0.205831818865225,0.0588604546348285,0.343244847817108,0.197969128081506
20,0.570653919449906,-0.0613509762182863,0.166514515593486,-0.464151567790741,0.274951650358587,-0.231931766795802,-0.21919534451575,-0.64441846405635,-0.585559186465115,-0.809270409785754,-1.02617946123336,-0.40096529607334,-0.810436562495932,-0.251124254313214,0.64065608842499,0.49634541592511,-0.153086785854625
21,0.212689055538703,-0.329247102431235,-0.349788599213891,0.287824007076579,0.291243080881992,-0.110269644015371,-0.10278336813901,-0.539479248493519,0.0942929036284064,-0.648507084219527,-0.66559077386945,-0.642128936105861,-0.946288296850402,-0.227037492561953,0.590181062440667,0.406979334749631,0.819225988543261
22,0.97086082743823,-0.446603987517619,0.395059850131646,0.188533886728451,0.243267944651767,-0.62353128365014,-0.0679467003184055,0.356030622462798,-0.364080081798333,-0.607014239463845,-0.657295348539301,-0.778623203579452,-0.78089663290277,-0.198542059445902,0.51860712062791,0.168376360598187,0.616389797919385
23,0.292455982907211,-0.354346182078228,-0.277531991009489,-0.0531270632102185,0.073544712167809,0.0144214442457895,-0.222836170014987,0.385971030333524,0.197028394511561,0.425509985403969,0.147178022635826,-0.278809925437584,-0.428168431520507,-0.0846255402069847,0.249970440387048,0.314930260557314,0.84194010557311
24,0.211822366379312,0.363132964728592,0.381199697159825,-0.18581704652569,-0.0050014040167126,0.120087543464921,-0.174985705924827,-0.00628242637044629,0.489802521334229,0.0580944741323414,0.371341223108575,-0.136493809630639,-0.419373721270038,-0.207787673319199,-0.345112089547252,0.353767506311576,0.722512103448274
